120000, 7, 8.403435e+09
300000, 7, 8.403435e+09
600000, 7, 8.403435e+09
900000, 7, 8.403435e+09
1200000, 7, 8.403435e+09
1500000, 7, 8.403435e+09
120000, 7, 5.197290e+08
120000, 7, 2.946057e+08
120000, 7, 4.566796e+08
120000, 7, 4.231333e+08
120000, 7, 3.978469e+08
300000, 7, 1.021101e+08
300000, 7, 6.003590e+07
300000, 7, 8.491093e+07
300000, 7, 8.320023e+07
300000, 7, 3.263876e+08
600000, 7, 9.997979e+07
600000, 7, 3.037504e+08
600000, 7, 8.124036e+07
600000, 7, 5.966468e+07
600000, 7, 8.345623e+07
900000, 7, 9.997084e+07
900000, 7, 3.037318e+08
900000, 7, 5.964387e+07
900000, 7, 8.122676e+07
900000, 7, 8.344898e+07
120000, 7, 3.380296e+08
120000, 7, 2.671342e+08
120000, 7, 2.793037e+08
120000, 7, 2.346632e+08
120000, 7, 1.481592e+08
300000, 7, 2.018759e+08
300000, 7, 1.826448e+08
300000, 7, 1.296906e+08
300000, 7, 1.358834e+08
300000, 7, 1.151833e+08
600000, 7, 2.018391e+08
600000, 7, 1.295257e+08
600000, 7, 1.356008e+08
600000, 7, 1.139911e+08
600000, 7, 1.800732e+08
900000, 7, 2.018390e+08
900000, 7, 1.295247e+08
900000, 7, 1.355917e+08
900000, 7, 1.139873e+08
900000, 7, 1.800731e+08
120000, 7, 6.294357e+08
120000, 7, 3.778505e+08
120000, 7, 4.454267e+08
120000, 7, 2.752166e+08
120000, 7, 1.282204e+08
300000, 7, 2.284786e+08
300000, 7, 3.378598e+08
300000, 7, 6.135182e+08
300000, 7, 1.297112e+08
300000, 7, 1.271572e+08
600000, 7, 3.377294e+08
600000, 7, 6.133587e+08
600000, 7, 2.280436e+08
600000, 7, 1.270381e+08
600000, 7, 1.296357e+08
900000, 7, 3.377289e+08
900000, 7, 6.133546e+08
900000, 7, 2.280337e+08
900000, 7, 1.270335e+08
900000, 7, 1.296357e+08
120000, 7, 5.425076e+08
120000, 7, 3.265104e+08
120000, 7, 3.741540e+08
120000, 7, 2.281392e+08
120000, 7, 4.937356e+08
300000, 7, 1.542090e+08
300000, 7, 2.210833e+08
300000, 7, 1.630808e+08
300000, 7, 8.521713e+07
300000, 7, 1.686500e+08
600000, 7, 2.206400e+08
600000, 7, 1.628868e+08
600000, 7, 1.521324e+08
600000, 7, 1.680552e+08
600000, 7, 8.387178e+07
900000, 7, 1.628747e+08
900000, 7, 1.521045e+08
900000, 7, 2.206301e+08
900000, 7, 1.680183e+08
900000, 7, 8.385403e+07
120000, 7, 2.646477e+08
120000, 7, 6.830658e+08
120000, 7, 3.707093e+08
120000, 7, 6.360972e+08
120000, 7, 4.590690e+08
300000, 7, 1.731177e+08
300000, 7, 2.071868e+08
300000, 7, 2.706431e+08
300000, 7, 1.678688e+08
300000, 7, 2.755388e+08
600000, 7, 2.062528e+08
600000, 7, 1.654684e+08
600000, 7, 1.726279e+08
600000, 7, 2.698990e+08
600000, 7, 2.746123e+08
900000, 7, 1.654347e+08
900000, 7, 2.062448e+08
900000, 7, 2.698608e+08
900000, 7, 1.725972e+08
900000, 7, 2.745889e+08
120000, 7, 6.565590e+08
120000, 7, 2.985850e+08
120000, 7, 4.048898e+08
120000, 7, 4.777198e+08
120000, 7, 3.925803e+08
300000, 7, 2.784588e+08
300000, 7, 2.436530e+08
300000, 7, 1.563547e+08
300000, 7, 1.183641e+08
300000, 7, 1.090373e+08
600000, 7, 2.430701e+08
600000, 7, 2.767246e+08
600000, 7, 1.552685e+08
600000, 7, 1.177960e+08
600000, 7, 1.082314e+08
900000, 7, 2.430593e+08
900000, 7, 1.177847e+08
900000, 7, 2.767029e+08
900000, 7, 1.552579e+08
900000, 7, 1.082192e+08
120000, 7, 3.947826e+08
120000, 7, 6.123922e+08
120000, 7, 1.691311e+08
120000, 7, 1.927557e+08
120000, 7, 1.627850e+08
300000, 7, 3.248266e+08
300000, 7, 4.983461e+08
300000, 7, 1.147526e+08
300000, 7, 9.826288e+07
300000, 7, 1.606785e+08
600000, 7, 1.145533e+08
600000, 7, 3.248173e+08
600000, 7, 4.982235e+08
600000, 7, 1.603855e+08
600000, 7, 9.824584e+07
900000, 7, 6.743553e+07
900000, 7, 3.248173e+08
900000, 7, 1.274199e+08
900000, 7, 1.603854e+08
900000, 7, 9.824578e+07
120000, 7, 4.477066e+08
120000, 7, 4.135946e+08
120000, 7, 3.428320e+08
120000, 7, 3.908950e+08
120000, 7, 2.478834e+08
300000, 7, 2.129712e+08
300000, 7, 1.483785e+08
300000, 7, 1.693312e+08
300000, 7, 1.288666e+08
300000, 7, 8.673278e+07
600000, 7, 1.477303e+08
600000, 7, 2.114992e+08
600000, 7, 8.553283e+07
600000, 7, 1.690506e+08
600000, 7, 1.267092e+08
900000, 7, 2.114879e+08
900000, 7, 1.477214e+08
900000, 7, 8.552116e+07
900000, 7, 1.690396e+08
900000, 7, 1.266956e+08
120000, 7, 4.528720e+08
120000, 7, 8.256185e+08
120000, 7, 9.952435e+08
120000, 7, 4.900704e+08
120000, 7, 6.015355e+08
300000, 7, 1.958308e+08
300000, 7, 1.145496e+08
300000, 7, 6.465681e+07
300000, 7, 1.541448e+08
300000, 7, 2.759410e+08
600000, 7, 1.953905e+08
600000, 7, 9.350317e+07
600000, 7, 5.748578e+06
600000, 7, 1.284707e+07
600000, 7, 8.771419e+06
900000, 7, 9.350317e+07
900000, 7, 1.218775e+07
900000, 7, 4.140798e+06
900000, 7, 6.550477e+06
900000, 7, 2.590022e+06
